transaction_id,transaction_date,facility_name,department,spend_category,vendor_name,product_description,unit_price,quantity,total_amount,contract_type,ppi_flag
TXN-105360,2024-01-04,St. Joseph's University Hospital,Other/Miscellaneous,Other/Miscellaneous,Teleflex,Blood Pressure Cuff — Disposable (box),410.31,3,1230.93,GPO,False
TXN-104998,2024-01-04,St. Joseph's University Hospital,Vascular,Vascular,Boston Scientific,PICC Line Kit,249.81,3,749.43,Local,True
TXN-101408,2024-01-04,Riverside General Hospital,Biomedical Equipment,Biomedical Equipment,GE Healthcare,Pulse Oximeter — Portable,1422.44,3,4267.32,GPO,False
TXN-105571,2024-01-04,Riverside General Hospital,Other/Miscellaneous,Other/Miscellaneous,Cardinal Health,Thermometer — Digital (each),124.73,3,374.19,GPO,False
TXN-104603,2024-01-04,Northside Community Hospital,Vascular,Vascular,Teleflex,Drug-Eluting Stent,9746.28,7,68223.96,GPO,False
TXN-101023,2024-01-05,Memorial Regional Medical Center,Orthopedics,Orthopedics,Stryker,Surgical Power Drill — Ortho,5037.57,1,5037.57,GPO,True
TXN-102527,2024-01-05,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,Cardinal Health,Surgical Drain — Closed Suction,526.8,11,5794.8,Off-Contract,False
TXN-104835,2024-01-05,Valley Health System — Main Campus,Vascular,Vascular,Medtronic,Vascular Closure Device,950.33,1,950.33,GPO,True
TXN-104442,2024-01-05,Northside Community Hospital,Clinical Engineering Services,Clinical Engineering Services,Philips,PM Service — Patient Monitors (quarterly),2999.79,1,2999.79,GPO,False
TXN-104126,2024-01-05,Riverside General Hospital,Radiology,Radiology,Siemens Healthineers,Lead Apron — Lightweight,437.65,2,875.3,GPO,False
TXN-100082,2024-01-05,St. Joseph's University Hospital,Orthopedics,Orthopedics,Medtronic,Surgical Power Drill — Ortho,6284.75,6,37708.5,GPO,True
TXN-102284,2024-01-05,Memorial Regional Medical Center,Surgical Supplies,Surgical Supplies,Medtronic,Surgical Suture — Non-Absorbable (box),402.67,22,8858.74,GPO,False
TXN-104385,2024-01-05,Riverside General Hospital,Clinical Engineering Services,Clinical Engineering Services,Agiliti,Firmware Update Service — Monitors,2804.99,1,2804.99,GPO,False
TXN-100186,2024-01-06,St. Joseph's University Hospital,Orthopedics,Orthopedics,Globus Medical,Shoulder Arthroplasty System,14467.19,1,14467.19,Off-Contract,True
TXN-101055,2024-01-06,Memorial Regional Medical Center,Orthopedics,Orthopedics,Medtronic,Revision Hip Stem Component,10410.72,2,20821.44,Local,True
TXN-104689,2024-01-06,Northside Community Hospital,Vascular,Vascular,Boston Scientific,PTA Balloon Catheter,1998.88,1,1998.88,GPO,True
TXN-104146,2024-01-06,Valley Health System — Main Campus,Radiology,Radiology,Hologic,MRI Contrast Agent — Gadolinium (case),600.7,1,600.7,GPO,False
TXN-104968,2024-01-06,Valley Health System — Main Campus,Vascular,Vascular,B.Braun,Guidewire — Hydrophilic,461.27,5,2306.35,GPO,False
TXN-101957,2024-01-06,Memorial Regional Medical Center,Surgical Supplies,Surgical Supplies,B.Braun,Irrigation Solution — 3L,160.95,3,482.85,GPO,False
TXN-101545,2024-01-07,Riverside General Hospital,Biomedical Equipment,Biomedical Equipment,GE Healthcare,Transport Monitor,9189.23,2,18378.46,Off-Contract,False
TXN-101687,2024-01-07,Northside Community Hospital,Surgical Supplies,Surgical Supplies,Cardinal Health,Surgical Gloves — Sterile (case),740.38,5,3701.9,GPO,False
TXN-103244,2024-01-07,Memorial Regional Medical Center,Biologics & Wound Care,Biologics & Wound Care,Integra LifeSciences,Amniotic Membrane Allograft,8005.68,2,16011.36,Local,False
TXN-100246,2024-01-07,Valley Health System — Main Campus,Orthopedics,Orthopedics,Smith+Nephew,Intramedullary Nail — Femoral,3986.47,1,3986.47,Off-Contract,True
TXN-100173,2024-01-07,Valley Health System — Main Campus,Orthopedics,Orthopedics,Medtronic,Acetabular Cup w/ Liner,4204.81,1,4204.81,Local,True
TXN-100454,2024-01-07,St. Joseph's University Hospital,Orthopedics,Orthopedics,Stryker,ACL Reconstruction Graft System,2890.14,1,2890.14,GPO,True
TXN-103025,2024-01-08,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,Cardinal Health,Scalpel — Disposable (box),223.85,6,1343.1,GPO,False
TXN-104077,2024-01-08,St. Joseph's University Hospital,Radiology,Radiology,GE Healthcare,Biopsy Needle — CT-Guided (box),488.85,4,1955.4,GPO,False
TXN-100612,2024-01-08,Valley Health System — Main Campus,Orthopedics,Orthopedics,Zimmer Biomet,Spinal Rod System (Titanium),2064.39,1,2064.39,GPO,True
TXN-105368,2024-01-08,Valley Health System — Main Campus,Other/Miscellaneous,Other/Miscellaneous,BD,Crutches — Aluminum (pair),141.22,7,988.54,GPO,False
TXN-102311,2024-01-08,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,Baxter,Laparoscopic Trocar Set,1355.24,17,23039.08,GPO,False
TXN-103921,2024-01-08,Riverside General Hospital,Radiology,Radiology,Canon Medical,X-Ray Cassette — Digital DR Panel,8809.9,1,8809.9,GPO,False
TXN-105042,2024-01-08,Memorial Regional Medical Center,Vascular,Vascular,Medtronic,PTA Balloon Catheter,1777.84,1,1777.84,GPO,False
TXN-104686,2024-01-08,Riverside General Hospital,Vascular,Vascular,B.Braun,Introducer Sheath Set,396.08,1,396.08,Local,False
TXN-102056,2024-01-08,Memorial Regional Medical Center,Surgical Supplies,Surgical Supplies,Baxter,Energy Device — Ultrasonic Shears,3056.18,10,30561.8,GPO,False
TXN-102887,2024-01-09,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,Teleflex,Surgical Drain — Closed Suction,232.26,5,1161.3,GPO,False
TXN-100355,2024-01-09,Riverside General Hospital,Orthopedics,Orthopedics,Stryker,Shoulder Arthroplasty System,6718.76,4,26875.04,Local,True
TXN-104237,2024-01-09,St. Joseph's University Hospital,Clinical Engineering Services,Clinical Engineering Services,Siemens Healthineers,Firmware Update Service — Monitors,2518.83,1,2518.83,GPO,False
TXN-101832,2024-01-09,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,BD,Surgical Drain — Closed Suction,397.79,1,397.79,GPO,False
TXN-104158,2024-01-09,Riverside General Hospital,Radiology,Radiology,Siemens Healthineers,CT Contrast Agent — Iodinated (case),525.34,1,525.34,GPO,False
TXN-103738,2024-01-09,Valley Health System — Main Campus,Biologics & Wound Care,Biologics & Wound Care,Baxter,Bone Morphogenetic Protein Kit,19493.37,1,19493.37,GPO,False
TXN-101088,2024-01-09,Valley Health System — Main Campus,Orthopedics,Orthopedics,Stryker,Intramedullary Nail — Tibial,3418.43,2,6836.86,GPO,True
TXN-101712,2024-01-09,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,Cardinal Health,Laparoscopic Trocar Set,2673.82,6,16042.92,GPO,False
TXN-104018,2024-01-10,Northside Community Hospital,Radiology,Radiology,GE Healthcare,X-Ray Cassette — Digital DR Panel,12568.59,5,62842.95,Local,False
TXN-103022,2024-01-10,Valley Health System — Main Campus,Surgical Supplies,Surgical Supplies,Teleflex,Wound Closure Strip (box),323.69,4,1294.76,GPO,False
TXN-104214,2024-01-10,Memorial Regional Medical Center,Clinical Engineering Services,Clinical Engineering Services,GE Healthcare,Calibration Service — Defibrillators,1668.13,5,8340.65,Local,False
TXN-102053,2024-01-10,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,BD,Surgical Drain — Closed Suction,492.16,2,984.32,GPO,False
TXN-104947,2024-01-10,Riverside General Hospital,Vascular,Vascular,Medtronic,Embolization Coil (each),865.07,2,1730.14,GPO,False
TXN-100796,2024-01-10,St. Joseph's University Hospital,Orthopedics,Orthopedics,DePuy Synthes,Revision Hip Stem Component,11287.27,2,22574.54,Off-Contract,True
TXN-101962,2024-01-10,Valley Health System — Main Campus,Surgical Supplies,Surgical Supplies,BD,Wound Closure Strip (box),188.43,2,376.86,GPO,False
TXN-103086,2024-01-10,Memorial Regional Medical Center,Biologics & Wound Care,Biologics & Wound Care,ConvaTec,Foam Dressing — Adhesive (box),229.92,1,229.92,GPO,True
TXN-102631,2024-01-10,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,Cardinal Health,Specimen Container — Sterile (case),422.09,2,844.18,GPO,False
TXN-104063,2024-01-10,St. Joseph's University Hospital,Radiology,Radiology,Siemens Healthineers,Ultrasound Probe — Convex,6978.14,6,41868.84,Off-Contract,False
TXN-105435,2024-01-10,St. Joseph's University Hospital,Other/Miscellaneous,Other/Miscellaneous,B.Braun,Wheelchair — Standard,2982.75,7,20879.25,Local,False
TXN-104695,2024-01-11,Valley Health System — Main Campus,Vascular,Vascular,Abbott,PICC Line Kit,334.46,2,668.92,GPO,True
TXN-100347,2024-01-11,Valley Health System — Main Campus,Orthopedics,Orthopedics,Arthrex,Locking Plate System — Distal Radius,1370.89,9,12338.01,Local,True
TXN-105277,2024-01-11,St. Joseph's University Hospital,Other/Miscellaneous,Other/Miscellaneous,Baxter,Exam Gloves — Nitrile (case),424.14,24,10179.36,GPO,False
TXN-102285,2024-01-11,Memorial Regional Medical Center,Surgical Supplies,Surgical Supplies,BD,Scalpel — Disposable (box),346.55,8,2772.4,GPO,False
TXN-104616,2024-01-11,Riverside General Hospital,Vascular,Vascular,Boston Scientific,PTA Balloon Catheter,3580.19,6,21481.14,GPO,False
TXN-101560,2024-01-12,St. Joseph's University Hospital,Biomedical Equipment,Biomedical Equipment,Agiliti,Infusion Pump — Dual Channel,4402.06,2,8804.12,Off-Contract,False
TXN-100134,2024-01-12,Riverside General Hospital,Orthopedics,Orthopedics,Stryker,Primary Total Hip System,10983.34,1,10983.34,GPO,True
TXN-101716,2024-01-12,Riverside General Hospital,Surgical Supplies,Surgical Supplies,Cardinal Health,Wound Closure Strip (box),418.25,3,1254.75,Off-Contract,False
TXN-103257,2024-01-12,Riverside General Hospital,Biologics & Wound Care,Biologics & Wound Care,ConvaTec,Hemostatic Matrix (5mL),2136.97,4,8547.88,GPO,True
TXN-101076,2024-01-12,St. Joseph's University Hospital,Orthopedics,Orthopedics,Stryker,Revision Knee Tibial Baseplate,8079.91,3,24239.73,GPO,True
TXN-103123,2024-01-12,St. Joseph's University Hospital,Biologics & Wound Care,Biologics & Wound Care,ConvaTec,Negative Pressure Wound Therapy Kit,2258.78,2,4517.56,Local,False
TXN-104274,2024-01-12,Northside Community Hospital,Clinical Engineering Services,Clinical Engineering Services,Philips,Annual Safety Testing — OR Suite,9267.13,2,18534.26,GPO,False
TXN-104871,2024-01-12,Valley Health System — Main Campus,Vascular,Vascular,Medtronic,Vascular Closure Device,1081.94,1,1081.94,GPO,True
TXN-100815,2024-01-12,St. Joseph's University Hospital,Orthopedics,Orthopedics,DePuy Synthes,Spinal Rod System (Titanium),3508.78,2,7017.56,GPO,True
TXN-102183,2024-01-12,Valley Health System — Main Campus,Surgical Supplies,Surgical Supplies,Baxter,Drape — Surgical (case),660.82,1,660.82,GPO,False
TXN-100516,2024-01-12,Northside Community Hospital,Orthopedics,Orthopedics,Stryker,Thoracolumbar Pedicle Screw Set,4639.81,4,18559.24,Off-Contract,True
TXN-100360,2024-01-12,Memorial Regional Medical Center,Orthopedics,Orthopedics,Stryker,ACL Reconstruction Graft System,4429.54,1,4429.54,Off-Contract,True
TXN-102436,2024-01-12,Valley Health System — Main Campus,Surgical Supplies,Surgical Supplies,BD,Irrigation Solution — 3L,293.53,10,2935.3,Off-Contract,False
TXN-101627,2024-01-13,Memorial Regional Medical Center,Biomedical Equipment,Biomedical Equipment,Siemens Healthineers,Transport Monitor,9093.66,1,9093.66,GPO,False
TXN-105548,2024-01-13,Riverside General Hospital,Other/Miscellaneous,Other/Miscellaneous,B.Braun,IV Pole — Rolling,1656.65,3,4969.95,GPO,False
TXN-104467,2024-01-13,Memorial Regional Medical Center,Clinical Engineering Services,Clinical Engineering Services,Philips,Repair Parts — Electrosurgical Unit,2342.52,1,2342.52,Local,False
TXN-102418,2024-01-13,Valley Health System — Main Campus,Surgical Supplies,Surgical Supplies,Teleflex,Scalpel — Disposable (box),191.34,6,1148.04,GPO,False
TXN-100194,2024-01-13,Valley Health System — Main Campus,Orthopedics,Orthopedics,Stryker,Cervical Interbody Fusion Cage,3724.75,1,3724.75,GPO,True
TXN-104210,2024-01-13,Memorial Regional Medical Center,Clinical Engineering Services,Clinical Engineering Services,GE Healthcare,PM Service — Patient Monitors (quarterly),4924.78,3,14774.34,Local,False
TXN-103208,2024-01-13,St. Joseph's University Hospital,Biologics & Wound Care,Biologics & Wound Care,Molnlycke,NPWT Canister/Dressing Change Kit,603.95,1,603.95,Local,True
TXN-105025,2024-01-13,St. Joseph's University Hospital,Vascular,Vascular,Medtronic,PICC Line Kit,703.36,4,2813.44,Off-Contract,False
TXN-102980,2024-01-13,Riverside General Hospital,Surgical Supplies,Surgical Supplies,B.Braun,Surgical Suture — Absorbable (box),449.84,5,2249.2,GPO,False
TXN-103006,2024-01-13,Northside Community Hospital,Surgical Supplies,Surgical Supplies,BD,Hemostatic Agent — Topical,1407.79,2,2815.58,Off-Contract,False
TXN-102369,2024-01-13,Valley Health System — Main Campus,Surgical Supplies,Surgical Supplies,Teleflex,Drape — Surgical (case),925.91,4,3703.64,GPO,False
TXN-101959,2024-01-13,Memorial Regional Medical Center,Surgical Supplies,Surgical Supplies,BD,Surgical Suture — Absorbable (box),505.88,1,505.88,Local,False
TXN-103105,2024-01-13,Northside Community Hospital,Biologics & Wound Care,Biologics & Wound Care,Molnlycke,Bone Graft Substitute — DBM Putty,4438.19,7,31067.33,GPO,False
TXN-101201,2024-01-14,Riverside General Hospital,Biomedical Equipment,Biomedical Equipment,GE Healthcare,Defibrillator — Biphasic,19328.03,1,19328.03,GPO,False
TXN-103591,2024-01-14,Northside Community Hospital,Biologics & Wound Care,Biologics & Wound Care,Integra LifeSciences,Alginate Dressing (box),310.04,1,310.04,Local,True
TXN-101912,2024-01-14,Memorial Regional Medical Center,Surgical Supplies,Surgical Supplies,Teleflex,Wound Closure Strip (box),215.17,1,215.17,Local,False
TXN-101528,2024-01-14,Riverside General Hospital,Biomedical Equipment,Biomedical Equipment,Siemens Healthineers,Suction Unit — Portable,2661.9,1,2661.9,GPO,False
TXN-104519,2024-01-15,St. Joseph's University Hospital,Clinical Engineering Services,Clinical Engineering Services,Agiliti,Firmware Update Service — Monitors,3413.86,5,17069.3,Off-Contract,False
TXN-103245,2024-01-15,Riverside General Hospital,Biologics & Wound Care,Biologics & Wound Care,Integra LifeSciences,Negative Pressure Wound Therapy Kit,2307.14,3,6921.42,Off-Contract,True
TXN-104431,2024-01-15,Memorial Regional Medical Center,Clinical Engineering Services,Clinical Engineering Services,Philips,On-Call Service Contract — Monthly,13356.34,3,40069.02,Local,False
TXN-101230,2024-01-15,St. Joseph's University Hospital,Biomedical Equipment,Biomedical Equipment,Medtronic,Stretcher — Emergency,9513.88,1,9513.88,GPO,False
TXN-100175,2024-01-15,Memorial Regional Medical Center,Orthopedics,Orthopedics,Smith+Nephew,Revision Hip Stem Component,8658.13,3,25974.39,GPO,True
TXN-103689,2024-01-15,Valley Health System — Main Campus,Biologics & Wound Care,Biologics & Wound Care,Molnlycke,Skin Substitute — Bioengineered (per cm²),2985.64,4,11942.56,Local,True
TXN-102328,2024-01-15,Valley Health System — Main Campus,Surgical Supplies,Surgical Supplies,Baxter,Laparoscopic Trocar Set,2036.72,20,40734.4,GPO,False
TXN-100028,2024-01-15,Memorial Regional Medical Center,Orthopedics,Orthopedics,Zimmer Biomet,Partial Knee Unicompartmental System,5796.7,7,40576.9,GPO,True
TXN-104123,2024-01-16,St. Joseph's University Hospital,Radiology,Radiology,Siemens Healthineers,X-Ray Cassette — Digital DR Panel,13685.42,2,27370.84,GPO,False
TXN-102513,2024-01-16,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,B.Braun,Hemostatic Agent — Topical,792.59,4,3170.36,GPO,False
TXN-104076,2024-01-16,Memorial Regional Medical Center,Radiology,Radiology,Hologic,Mammography QC Phantom,2955.57,2,5911.14,Local,True
TXN-103060,2024-01-16,Memorial Regional Medical Center,Biologics & Wound Care,Biologics & Wound Care,Integra LifeSciences,Bone Morphogenetic Protein Kit,25968.53,7,181779.71,Off-Contract,False
TXN-100097,2024-01-16,Memorial Regional Medical Center,Orthopedics,Orthopedics,Smith+Nephew,Cervical Interbody Fusion Cage,4020.54,1,4020.54,GPO,True
TXN-101648,2024-01-16,Valley Health System — Main Campus,Biomedical Equipment,Biomedical Equipment,Philips,Bed — Med-Surg Electric,10330.56,2,20661.12,GPO,False
TXN-100286,2024-01-16,St. Joseph's University Hospital,Orthopedics,Orthopedics,Arthrex,Intramedullary Nail — Tibial,2331.6,1,2331.6,GPO,True
TXN-103311,2024-01-16,Riverside General Hospital,Biologics & Wound Care,Biologics & Wound Care,Medtronic,Collagen Wound Dressing (box),1431.25,1,1431.25,GPO,True
TXN-102553,2024-01-16,Memorial Regional Medical Center,Surgical Supplies,Surgical Supplies,Baxter,Surgical Suture — Non-Absorbable (box),558.43,1,558.43,GPO,False
TXN-101185,2024-01-16,Valley Health System — Main Campus,Biomedical Equipment,Biomedical Equipment,Medtronic,Pulse Oximeter — Portable,883.46,1,883.46,Local,False
TXN-104950,2024-01-17,Valley Health System — Main Campus,Vascular,Vascular,Boston Scientific,PICC Line Kit,593.95,2,1187.9,GPO,True
TXN-104569,2024-01-17,Northside Community Hospital,Clinical Engineering Services,Clinical Engineering Services,GE Healthcare,Repair Parts — Electrosurgical Unit,2989.35,1,2989.35,GPO,False
TXN-104374,2024-01-17,Memorial Regional Medical Center,Clinical Engineering Services,Clinical Engineering Services,Philips,Annual Safety Testing — OR Suite,16253.48,1,16253.48,Off-Contract,False
TXN-105519,2024-01-17,Riverside General Hospital,Other/Miscellaneous,Other/Miscellaneous,B.Braun,Crutches — Aluminum (pair),273.43,11,3007.73,GPO,False
TXN-101644,2024-01-17,Riverside General Hospital,Biomedical Equipment,Biomedical Equipment,Medtronic,Defibrillator — Biphasic,19231.68,1,19231.68,Local,False
TXN-101470,2024-01-17,Memorial Regional Medical Center,Biomedical Equipment,Biomedical Equipment,Agiliti,Defibrillator — Biphasic,11058.27,1,11058.27,Local,False
TXN-103726,2024-01-17,Memorial Regional Medical Center,Biologics & Wound Care,Biologics & Wound Care,Molnlycke,Alginate Dressing (box),358.98,1,358.98,GPO,True
TXN-101617,2024-01-17,Riverside General Hospital,Biomedical Equipment,Biomedical Equipment,GE Healthcare,Infusion Pump — Dual Channel,7921.72,1,7921.72,Off-Contract,False
TXN-103618,2024-01-17,St. Joseph's University Hospital,Biologics & Wound Care,Biologics & Wound Care,Molnlycke,Negative Pressure Wound Therapy Kit,2066.01,4,8264.04,GPO,True
TXN-103580,2024-01-17,St. Joseph's University Hospital,Biologics & Wound Care,Biologics & Wound Care,Smith+Nephew,Alginate Dressing (box),511.43,2,1022.86,GPO,True
TXN-100273,2024-01-17,Riverside General Hospital,Orthopedics,Orthopedics,Zimmer Biomet,Thoracolumbar Pedicle Screw Set,3477.78,4,13911.12,GPO,True
TXN-103147,2024-01-18,St. Joseph's University Hospital,Biologics & Wound Care,Biologics & Wound Care,Integra LifeSciences,Skin Substitute — Bioengineered (per cm²),1776.16,3,5328.48,GPO,True
TXN-102296,2024-01-18,Memorial Regional Medical Center,Surgical Supplies,Surgical Supplies,Cardinal Health,Stapler Reload Cartridge (6-pack),2469.46,1,2469.46,Off-Contract,True
TXN-102223,2024-01-18,Memorial Regional Medical Center,Surgical Supplies,Surgical Supplies,BD,Stapler Reload Cartridge (6-pack),1587.35,2,3174.7,Local,False
TXN-105524,2024-01-18,St. Joseph's University Hospital,Other/Miscellaneous,Other/Miscellaneous,Teleflex,Crutches — Aluminum (pair),214.43,1,214.43,GPO,False
TXN-102103,2024-01-18,Riverside General Hospital,Surgical Supplies,Surgical Supplies,Cardinal Health,Surgical Gown — Sterile (case),720.27,3,2160.81,GPO,False
TXN-101353,2024-01-18,St. Joseph's University Hospital,Biomedical Equipment,Biomedical Equipment,Agiliti,ECG Machine — 12-Lead,8348.6,1,8348.6,Local,False
TXN-103435,2024-01-18,Northside Community Hospital,Biologics & Wound Care,Biologics & Wound Care,KCI (3M+KCI),Bone Graft Substitute — DBM Putty,5243.75,7,36706.25,Local,True
TXN-104775,2024-01-18,Memorial Regional Medical Center,Vascular,Vascular,Abbott,Vascular Closure Device,1221.53,1,1221.53,Off-Contract,True
TXN-103617,2024-01-18,Valley Health System — Main Campus,Biologics & Wound Care,Biologics & Wound Care,Integra LifeSciences,Negative Pressure Wound Therapy Kit,2181.73,2,4363.46,Local,True
TXN-103830,2024-01-19,Northside Community Hospital,Radiology,Radiology,Siemens Healthineers,Ultrasound Probe — Convex,7594.75,3,22784.25,GPO,False
TXN-100685,2024-01-19,Memorial Regional Medical Center,Orthopedics,Orthopedics,NuVasive,Intramedullary Nail — Femoral,2721.74,2,5443.48,GPO,True
TXN-101428,2024-01-19,St. Joseph's University Hospital,Biomedical Equipment,Biomedical Equipment,GE Healthcare,Defibrillator — Biphasic,13923.61,3,41770.83,GPO,False
TXN-101872,2024-01-19,Riverside General Hospital,Surgical Supplies,Surgical Supplies,B.Braun,Energy Device — Ultrasonic Shears,2628.13,7,18396.91,Local,False
TXN-100629,2024-01-19,St. Joseph's University Hospital,Orthopedics,Orthopedics,Arthrex,Cannulated Screw Set (6.5mm),711.51,1,711.51,Local,True
TXN-101441,2024-01-19,St. Joseph's University Hospital,Biomedical Equipment,Biomedical Equipment,BD,Infusion Pump — Dual Channel,7510.47,5,37552.35,GPO,False
TXN-104883,2024-01-19,Memorial Regional Medical Center,Vascular,Vascular,BD,Vascular Closure Device,849.07,2,1698.14,Local,False
TXN-103484,2024-01-19,Memorial Regional Medical Center,Biologics & Wound Care,Biologics & Wound Care,Molnlycke,Antimicrobial Silver Dressing (box),1085.2,2,2170.4,GPO,True
TXN-101847,2024-01-20,Northside Community Hospital,Surgical Supplies,Surgical Supplies,Teleflex,Stapler Reload Cartridge (6-pack),1240.06,20,24801.2,GPO,False
TXN-105213,2024-01-20,St. Joseph's University Hospital,Other/Miscellaneous,Other/Miscellaneous,Cardinal Health,Sharps Container (case),507.88,7,3555.16,GPO,False
TXN-100522,2024-01-20,St. Joseph's University Hospital,Orthopedics,Orthopedics,Arthrex,Bone Cement (40g),412.52,2,825.04,Local,True
TXN-103487,2024-01-21,Riverside General Hospital,Biologics & Wound Care,Biologics & Wound Care,Smith+Nephew,Hemostatic Matrix (5mL),2201.76,2,4403.52,GPO,True
TXN-104166,2024-01-21,Valley Health System — Main Campus,Radiology,Radiology,GE Healthcare,CR Imaging Plate,2217.5,2,4435.0,GPO,False
TXN-103175,2024-01-21,Northside Community Hospital,Biologics & Wound Care,Biologics & Wound Care,Smith+Nephew,Collagen Wound Dressing (box),1509.92,1,1509.92,Off-Contract,True
TXN-102622,2024-01-21,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,Cardinal Health,Surgical Gown — Sterile (case),932.38,4,3729.52,GPO,False
TXN-100550,2024-01-21,Memorial Regional Medical Center,Orthopedics,Orthopedics,Smith+Nephew,Surgical Power Drill — Ortho,7100.24,1,7100.24,GPO,True
TXN-100411,2024-01-21,Memorial Regional Medical Center,Orthopedics,Orthopedics,Stryker,Shoulder Arthroplasty System,7541.15,3,22623.45,Local,True
TXN-104042,2024-01-21,St. Joseph's University Hospital,Radiology,Radiology,Siemens Healthineers,Ultrasound Probe — Linear,9720.52,2,19441.04,Local,False
TXN-101082,2024-01-21,Northside Community Hospital,Orthopedics,Orthopedics,Medtronic,Spinal Rod System (Titanium),3579.79,3,10739.37,GPO,True
